EPOCH	TIMESTAMP	BAD_EPOCHS	LEARNING_RATE	TRAIN_LOSS	TRAIN_PRECISION	TRAIN_RECALL	TRAIN_ACCURACY	TRAIN_F-SCORE	DEV_LOSS	DEV_PRECISION	DEV_RECALL	DEV_ACCURACY	DEV_F-SCORE	TEST_LOSS	TEST_PRECISION	TEST_RECALL	TEST_ACCURACY	TEST_F-SCORE
0	11:17:16	0	0.1000	0.021566360052359308		_	_	_	_	0.01357106864452362	0.7966	0.7966	0.662	0.7966	_	0.7458	0.7458	0.5946	0.7458
1	11:17:21	0	0.1000	0.011943495343044654		_	_	_	_	0.009098307229578495	0.9492	0.9492	0.9032	0.9492	_	0.9322	0.9322	0.873	0.9322
2	11:17:25	0	0.1000	0.0074396561831235886		_	_	_	_	0.01151264552026987	0.8983	0.8983	0.8154	0.8983	_	0.9322	0.9322	0.873	0.9322
3	11:17:30	0	0.1000	0.005294906804180246		_	_	_	_	0.004758064169436693	0.9831	0.9831	0.9667	0.9831	_	0.9492	0.9492	0.9032	0.9492
4	11:17:34	0	0.1000	0.00446244291329788		_	_	_	_	0.004690462723374367	0.9322	0.9322	0.873	0.9322	_	1.0	1.0	1.0	1.0
5	11:17:38	0	0.1000	0.0037542633333448637		_	_	_	_	0.0035621649585664272	0.9831	0.9831	0.9667	0.9831	_	1.0	1.0	1.0	1.0
6	11:17:42	0	0.1000	0.0031050761798554556		_	_	_	_	0.004254551138728857	0.9492	0.9492	0.9032	0.9492	_	1.0	1.0	1.0	1.0
7	11:17:46	0	0.1000	0.0023584820574812466		_	_	_	_	0.0026280605234205723	0.9831	0.9831	0.9667	0.9831	_	1.0	1.0	1.0	1.0
8	11:17:49	0	0.1000	0.0020124794110276943		_	_	_	_	0.0030504190362989902	0.9492	0.9492	0.9032	0.9492	_	1.0	1.0	1.0	1.0
9	11:17:53	0	0.1000	0.0022354079568285053		_	_	_	_	0.006120446603745222	0.9153	0.9153	0.8438	0.9153	_	0.9492	0.9492	0.9032	0.9492
10	11:17:55	1	0.1000	0.0019522558708312148		_	_	_	_	0.0023175845853984356	0.9831	0.9831	0.9667	0.9831	_	1.0	1.0	1.0	1.0
11	11:17:58	0	0.1000	0.0014709590784258257		_	_	_	_	0.0024077659472823143	0.9492	0.9492	0.9032	0.9492	_	1.0	1.0	1.0	1.0
12	11:18:02	0	0.1000	0.001616202515818305		_	_	_	_	0.0024088090285658836	0.9661	0.9661	0.9344	0.9661	_	1.0	1.0	1.0	1.0
13	11:18:03	1	0.1000	0.0010978216542152025		_	_	_	_	0.0020333807915449142	0.9831	0.9831	0.9667	0.9831	_	1.0	1.0	1.0	1.0
14	11:18:07	0	0.1000	0.0009625875844888515		_	_	_	_	0.002005423652008176	0.9831	0.9831	0.9667	0.9831	_	1.0	1.0	1.0	1.0
15	11:18:12	0	0.1000	0.0011199455218926324		_	_	_	_	0.002712137531489134	0.9492	0.9492	0.9032	0.9492	_	1.0	1.0	1.0	1.0
16	11:18:13	1	0.1000	0.0009428188974290329		_	_	_	_	0.0019532116129994392	0.9831	0.9831	0.9667	0.9831	_	1.0	1.0	1.0	1.0
17	11:18:17	0	0.1000	0.0008327492100376068		_	_	_	_	0.0019375692354515195	0.9831	0.9831	0.9667	0.9831	_	1.0	1.0	1.0	1.0
18	11:18:21	0	0.1000	0.0007924755968121907		_	_	_	_	0.002495033200830221	0.9492	0.9492	0.9032	0.9492	_	1.0	1.0	1.0	1.0
19	11:18:25	0	0.1000	0.0007330688324330721		_	_	_	_	0.0018684585811570287	0.9831	0.9831	0.9667	0.9831	_	1.0	1.0	1.0	1.0
