__label__s	play rihanna don't stop the music
__label__s	play madison beer teenager in love
__label__s	play calvin harris summer
__label__s	play unwritten
__label__m	play me a happy song
__label__s	play kream (feat. tyga)
__label__m	any happy songs
__label__s	play your shirt by chelsea cutler
__label__s	play friends by anne-marie
__label__s	play what do you mean? by justin bieber
__label__s	play don't stop the music by rihanna
__label__s	play just for a moment (feat. iselin) by gryffin
__label__g	play some random reggae song
__label__g	can you play some blues
__label__s	play the way (feat. chance the rapper) by kehlani
__label__s	play it will rain by bruno mars
__label__s	play avril lavigne head above water
__label__s	play amnesia
__label__s	play replay by zendaya
__label__s	play oops!...i did it again by britney spears
__label__g	can you play some folk
__label__s	play sia breathe me
__label__s	play rock bottom by hailee steinfeld
__label__s	play love is a wild thing
__label__s	play walking on a dream by empire of the sun
__label__s	play shakira clandestino
__label__s	play getting over you by lauv
__label__s	play airplanes (feat. hayley williams)
__label__m	i am feeling miserable
__label__s	play tequilawine by olivia o'brien
__label__s	play wake me up before you go-go by wham!
__label__s	play wait a minute! by willow
__label__m	popular song
__label__s	play trey songz chi chi (feat. chris brown)
__label__m	im feeling sad
__label__s	play safe and sound
__label__s	play outrunning karma
__label__s	play wrecking ball
__label__s	play headband (feat. 2 chainz)
__label__g	can you play some jazz
__label__s	play hailee steinfeld you're such a
__label__s	play hey brother by avicii
__label__s	play gryffin just for a moment (feat. iselin)
__label__s	play rihanna we found love
__label__m	play something trendy
__label__s	play pussy is god by king princess
__label__s	play rock bottom
__label__s	play rita ora only want you
__label__s	play pon de replay
__label__s	play camila cabello crying in the club
__label__s	play hey brother
__label__s	play clandestino
__label__s	play want to
__label__s	play truthfully by dnce
__label__s	play kehlani the way (feat. chance the rapper)
__label__s	play miley cyrus wrecking ball
__label__s	play slow motion
__label__g	play some random folk song
__label__s	play no place by backstreet boys
__label__s	play ayo
__label__s	play runaway (u & i)
__label__m	play acoustic songs
__label__s	play the heart wants what it wants by selena gomez
__label__s	play anne-marie friends
__label__s	play b.o.b airplanes (feat. hayley williams)
__label__s	play mariah carey always be my baby
__label__s	play selena gomez hands to myself
__label__g	play some random hip-hop song
__label__s	play lady gaga why did you do that?
__label__s	play escápate conmigo (feat. ozuna)
__label__s	play escápate conmigo (feat. ozuna) by wisin
__label__s	play so what by p!nk
__label__s	play bruno mars it will rain
__label__m	im stressed
__label__s	play we found love by rihanna
__label__g	can you play some electronic
__label__s	play toxic
__label__s	play stole your car
__label__g	i want to listen to some movie
__label__g	i want to hear some r&b
__label__s	play me too by meghan trainor
__label__s	play breathe me by sia
__label__s	play safe and sound by capital cities
__label__s	play 5 seconds of summer amnesia
__label__m	i really want to dance
__label__g	play some random rock song
__label__m	play random
__label__s	play heal me by lady gaga
__label__s	play don't matter by akon
__label__g	play some random soundtrack song
__label__s	play back to you
__label__s	play crying in the club by camila cabello
__label__m	i need to concentrate
__label__s	play borderline (feat. missy elliott)
__label__s	play troye sivan my my my!
__label__g	can you play some world
__label__s	play look at me now by chris brown
__label__m	sad songs
__label__s	play breathe me
__label__s	play harry styles kiwi
__label__m	im feeling really sad
__label__m	im feeling happy
__label__s	play the lazy song
__label__s	play cheat codes feels great (feat. fetty wap & cvbz)
__label__g	play some anime
__label__s	play always be my baby by mariah carey
__label__s	play franz ferdinand take me out
__label__s	play zendaya replay
__label__s	play don't stop the music
__label__s	play last friday night (t.g.i.f.) by katy perry
__label__s	play stole your car by charlotte lawrence
__label__m	miserable
__label__g	i want to listen to some classical
__label__s	play the wanted glad you came
__label__s	play olivia o'brien rip (feat. g-eazy & drew love)
__label__g	play some indie
__label__g	i want to listen to some anime
__label__g	can you play some reggae
__label__s	play don't go breaking my heart
__label__s	play wonder woman by kacey musgraves
__label__s	play avicii waiting for love
__label__m	i need concentration
__label__s	play the way (feat. chance the rapper)
__label__s	play remember (with zohara)
__label__g	can you play some soundtrack
__label__s	play backstreet boys don't go breaking my heart
__label__s	play prettymuch solita (feat. rich the kid)
__label__s	play major lazer cold water
__label__s	play all these years
__label__s	play don't matter
__label__s	play it will rain
__label__s	play akon right now (na na na)
__label__s	play ava max sweet but psycho - morgan page remix
__label__s	play fool for you
__label__s	play they don't know about us
__label__s	play rip (feat. g-eazy & drew love) by olivia o'brien
__label__g	play some random world song
__label__m	i want to dance
__label__s	play always be my baby
__label__s	play avicii the nights
__label__g	i want to hear some comedy
__label__g	play some pop
__label__s	play pon de replay by rihanna
__label__s	play she looks so perfect by 5 seconds of summer
__label__s	play p!nk a million dreams
__label__s	play a million dreams
__label__m	im happy
__label__g	play some a capella
__label__s	play david guetta flames
__label__s	play feel good (feat. daya) by gryffin
__label__g	i want to listen to some jazz
__label__s	play kacey musgraves love is a wild thing
__label__m	acoustic songs
__label__g	play some reggae
__label__s	play hide away by daya
__label__s	play teenager in love by madison beer
__label__s	play timber
__label__s	play paparazzi
__label__s	play entertainer
__label__s	play clean bandit rockabye (feat. sean paul & anne-marie)
__label__s	play feel good (feat. daya)
__label__s	play colors
__label__s	play luis fonsi échame la culpa
__label__s	play pump it
__label__m	make me happy
__label__s	play lonely together (feat. rita ora) by avicii
